Handguns,"5,782","5,673","6,569","7,204","7,032",,,
Rifles,285,258,258,378,403,,,
Shotguns,308,264,272,261,264,,,
Other guns,123,93,177,187,187,,, 
Firearms (type not stated),"1,956","2,024","2,502","3,108","3,096",,,
Knives or cutting instruments,"1,490","1,595","1,589","1,632","1,591",,,
Blunt objects,428,446,450,479,467,,,
Personal weapons,687,682,659,669,696,,,
Poison,11,10,8,13,13,,,
Explosives,2,7,1,1,0,,,
Fire,94,71,84,114,103,,,
Narcotics,53,70,75,122,97,,,
Drowning,4,14,14,9,8,,,
Strangulation,85,89,99,99,88,,,
Asphyxiation,95,102,120,93,105,,,
