1,Billings,"1,06,954",Yellowstone
2,Missoula,"66,789",Missoula
3,Great Falls,"58,505",Cascade
4,Bozeman,"37,280",Gallatin
5,Butte,"34,525",Silver Bow
6,Helena,"28,190",Lewis and Clark
7,Kalispell,"19,927",Flathead
8,Havre,"9,310",Hill
9,Anaconda,"9,298",Deer Lodge
10,Miles City,"8,123",Custer
11,Belgrade,"7,389",Gallatin
12,Livingston,"7,044",Park
13,Laurel,"6,781",Yellowstone
14,Whitefish,"6,357",Flathead
15,Lewistown,"5,901",Fergus
16,Sidney,"5,191",Richland
17,Glendive,"4,935",Dawson
18,Columbia Falls,"4,688",Flathead
19,Polson,"4,598",Lake
20,Hamilton,"4,348",Ravalli
21,Dillon,"4,134",Beaverhead
22,Hardin,"3,505",Big Horn
23,Shelby,"3,376",Toole
24,Glasgow,"3,250",Valley
25,Deer Lodge,"3,111",Powell
26,Cut Bank,"2,869",Glacier
27,Libby,"2,628",Lincoln
28,Wolf Point,"2,621",Roosevelt
29,Conrad,"2,570",Pondera
30,Colstrip,"2,214",Rosebud
31,Red Lodge,"2,125",Carbon
32,Malta,"1,997",Phillips
33,East Helena,"1,984",Lewis and Clark
34,Columbus,"1,893",Stillwater
35,Townsend,"1,878",Broadwater
36,Ronan,"1,871",Lake
37,Three Forks,"1,869",Gallatin
38,Stevensville,"1,809",Ravalli
39,Roundup,"1,788",Musselshell
40,Forsyth,"1,777",Rosebud
41,Baker,"1,741",Fallon
42,Big Timber,"1,641",Sweet Grass
43,Choteau,"1,684",Teton
44,Manhattan,"1,520",Gallatin
45,Plentywood,"1,734",Sheridan
46,Fort Benton,"1,464",Chouteau
47,Thompson Falls,"1,313",Sanders
48,West Yellowstone,"1,271",Gallatin
49,Chinook,"1,203",Blaine
50,Boulder,"1,183",Jefferson
51,Plains,"1,048",Sanders
52,Whitehall,"1,038",Jefferson
53,Eureka,"1,037",Lincoln
54,Scobey,"1,017",Daniels
55,Browning,"1,016",Glacier
56,Harlowton,997,Wheatland
57,White Sulphur Springs,939,Meagher
58,Troy,938,Lincoln
59,Pinesdale,917,Ravalli
60,Chester,847,Liberty
61,St. Ignatius,842,Lake
62,Fairview,840,Richland
63,Ennis,838,Madison
64,Philipsburg,820,Granite
65,Superior,812,Mineral
66,Poplar,810,Roosevelt
67,Harlem,808,Blaine
68,Darby,720,Ravalli
69,Culbertson,714,Roosevelt
70,Bridger,708,Carbon
71,Fairfield,708,Teton
72,Cascade,685,Cascade
73,Walkerville,675,Silver Bow
74,Sheridan,642,Madison
75,Circle,615,McCone
76,Terry,605,Prairie
77,Big Sandy,598,Chouteau
78,Belt,597,Cascade
79,Joliet,595,Carbon
80,Wibaux,589,Wibaux
81,Hot Springs,544,Sanders
82,Geyser,527,Judith Basin
83,Valier,509,Pondera
84,Broadus,468,Powder River
85,Fromberg,438,Carbon
86,Lodge Grass,428,Big Horn
87,Alberton,420,Mineral
88,Stanford,401,Judith Basin
89,Sunburst,375,Toole
90,Twin Bridges,375,Madison
91,Jordan,343,Garfield
92,Ekalaka,332,Carter
93,Dutton,316,Teton
94,Hysham,312,Treasure
95,Drummond,309,Granite
96,Nashua,290,Valley
97,Clyde Park,288,Park
98,Geraldine,261,Chouteau
99,Brockton,255,Roosevelt
100,Denton,255,Fergus
101,Ryegate,245,Golden Valley
102,Fort Peck,233,Valley
103,Medicine Lake,225,Sheridan
104,Lima,221,Beaverhead
105,Hobson,215,Judith Basin
106,Bainville,208,Roosevelt
107,Winifred,208,Fergus
108,Saco,197,Phillips
109,Moore,193,Fergus
110,Broadview,192,Yellowstone
111,Virginia City,190,Madison
112,Lavina,187,Golden Valley
113,Froid,185,Roosevelt
114,Winnett,182,Petroleum
115,Richey,177,Dawson
116,Westby,168,Sheridan
117,Plevna,162,Fallon
118,Kevin,154,Toole
119,Judith Gap,126,Wheatland
120,Dodson,124,Phillips
121,Hingham,118,Hill
122,Grass Range,110,Fergus
123,Rexford,105,Lincoln
124,Melstone,96,Musselshell
125,Opheim,85,Valley
126,Bearcreek,79,Carbon
127,Flaxville,71,Daniels
128,Neihart,51,Cascade
129,Outlook,47,Sheridan
130,Ismay,19,Custer
